Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID,DK Ceiling
Bills ,BUF,MIA,DST,3300,6.4,-1.2,1.1,19185508,11
DJ Chark Jr.,JAX,DEN,WR,5600,12.8,-1.3,0.5,19184532,17.4
DeVonta Smith,PHI,SF,WR,5400,12.4,-1.3,3,19184540,17.8
Colts ,IND,LA,DST,2500,4.7,-1.3,4.6,19185518,8.6
Seahawks ,SEA,TEN,DST,3000,5.6,-1.3,0.6,19185511,9.9
Leonard Fournette,TB,ATL,RB,5100,11.7,-1.4,0.9,19184138,18.7
49ers ,SF,PHI,DST,3600,6.7,-1.4,0.7,19185506,11.4
Brandin Cooks,HOU,CLE,WR,5900,13.2,-1.5,1.7,19184524,18
James O'Shaughnessy,JAX,DEN,TE,2700,6.8,-1.5,5.8,19185232,9.4
Van Jefferson Jr.,LA,IND,WR,3500,8.4,-1.5,0.5,19184632,13.6
Myles Gaskin,MIA,BUF,RB,5900,13.2,-1.5,4.3,19184122,18.3
James Conner,ARI,MIN,RB,4400,10.1,-1.6,1,19184176,16
Mac Jones,NE,NYJ,QB,5400,15.2,-1.6,0.5,19184013,21.3
Texans ,HOU,CLE,DST,2000,3.4,-1.6,1.8,19185527,6.9
Titans ,TEN,SEA,DST,2200,3.8,-1.6,1.6,19185524,7.4
Anthony Schwartz,CLE,HOU,WR,3300,7.9,-1.7,0.5,19184662,14.1
Melvin Gordon III,DEN,JAX,RB,5900,13,-1.7,0.5,19184120,20.6
Elijah Moore,NYJ,NE,WR,3500,8.2,-1.7,6.8,19184634,11.3
Rob Gronkowski,TB,ATL,TE,4700,10.6,-1.7,1.5,19185150,17.8
Cowboys ,DAL,LAC,DST,2400,4.1,-1.7,0,19185521,7.8
Buccaneers ,TB,ATL,DST,4100,7.5,-1.7,0.5,19185503,12.5
Bryan Edwards,LV,PIT,WR,3700,8.6,-1.8,0.8,19184618,12.5
James White,NE,NYJ,RB,4600,10.3,-1.8,0.8,19184162,16.3
Jalen Reagor,PHI,SF,WR,4100,9.3,-1.8,0.5,19184596,13.5
Jarvis Landry,CLE,HOU,WR,6300,13.5,-1.9,4.9,19184508,21.6
Pharaoh Brown,HOU,CLE,TE,2900,6.8,-2,0.5,19185220,9.3
Will Dissly,SEA,TEN,TE,3000,6.9,-2,1.6,19185194,12.2
Anthony Firkser,TEN,SEA,TE,3400,7.8,-2,0.7,19185182,11.5
DeVante Parker,MIA,BUF,WR,5500,11.8,-2.1,0.5,19184538,16.2
Jimmy Garoppolo,SF,PHI,QB,5700,15.5,-2.2,0.5,19184008,18.7
Kareem Hunt,CLE,HOU,RB,5800,12.2,-2.3,2.7,19184124,19.9
KJ Hamler,DEN,JAX,WR,3800,8.2,-2.3,1.2,19184610,13.1
Michael Pittman Jr.,IND,LA,WR,4300,9.3,-2.3,4.7,19184586,12.9
Henry Ruggs III,LV,PIT,WR,4200,9,-2.3,0.5,19184590,13.3
Trevor Lawrence,JAX,DEN,QB,6000,16.2,-2.4,0.5,19184005,22.7
Tyler Kroft,NYJ,NE,TE,2900,6.4,-2.4,0.5,19185218,8.3
Raiders ,LV,PIT,DST,2800,4.1,-2.4,0,19185514,7.9
Robby Anderson,CAR,NO,WR,5800,12,-2.5,0.5,19184526,16.6
Jalen Guyton,LAC,DAL,WR,3100,6.6,-2.5,0.5,19184688,11.8
Austin Hooper,CLE,HOU,TE,3800,7.9,-2.6,1.4,19185166,13.2
Tim Patrick,DEN,JAX,WR,4600,9.5,-2.6,1.3,19184574,15.5
Nelson Agholor,NE,NYJ,WR,4800,10,-2.6,0.7,19184566,15.3
Jameis Winston,NO,CAR,QB,6100,16.3,-2.6,0.5,19184003,26.5
Gerald Everett,SEA,TEN,TE,3600,7.5,-2.6,6.1,19185174,12.5
Ronald Jones II,TB,ATL,RB,4800,10,-2.6,0.5,19184156,16.7
Chester Rogers,TEN,SEA,WR,3200,6.7,-2.6,0.9,19184670,10.3
Dalton Schultz,DAL,LAC,TE,3300,6.9,-2.7,0.5,19185184,11.2
Nico Collins,HOU,CLE,WR,3200,6.6,-2.7,0.8,19184666,8.8
Kenyan Drake,LV,PIT,RB,4900,10,-2.7,0.5,19184154,14.6
Trent Sherfield,SF,PHI,WR,3200,6.6,-2.7,0.5,19184674,11.2
Christian Kirk,ARI,MIN,WR,5000,10,-2.9,0.5,19184556,16.4
C.J. Uzomah,CIN,CHI,TE,3000,6.1,-2.9,0.6,19185200,9.2
David Njoku,CLE,HOU,TE,3600,7.2,-2.9,0.5,19185176,12.7
Deonte Harris,NO,CAR,WR,3900,7.8,-3,0.5,19184606,12.4
Kenneth Gainwell,PHI,SF,RB,4000,8,-3,0.5,19184368,13.4
Blake Jarwin,DAL,LAC,TE,3100,5.9,-3.2,4.1,19185190,10.2
Mo Alie-Cox,IND,LA,TE,2700,5.2,-3.2,0.5,19185226,7.8
Falcons ,ATL,TB,DST,2100,2,-3.2,0.6,19185526,4.9
Carlos Hyde,JAX,DEN,RB,4400,8.4,-3.3,0.5,19184180,12.1
Tyler Conklin,MIN,ARI,TE,3200,6,-3.3,2.4,19185188,9.3
Dallas Goedert,PHI,SF,TE,4600,8.8,-3.3,0.5,19185152,13
Eric Ebron,PIT,LV,TE,3500,6.6,-3.3,0.5,19185178,10.5
DeSean Jackson,LA,IND,WR,3300,6.2,-3.4,0.5,19184660,10.4
Gabriel Davis,BUF,MIA,WR,3900,7.2,-3.5,0.5,19184604,11.8
Albert Okwuegbunam,DEN,JAX,TE,2900,5.2,-3.5,0.5,19185216,9.2
Jonnu Smith,NE,NYJ,TE,4500,8.4,-3.5,0.5,19185154,12.9
Cordarrelle Patterson,ATL,TB,WR,3800,6.9,-3.6,0.5,19184608,10
Russell Gage,ATL,TB,WR,4800,9,-3.6,0.5,19184562,12.3
Zach Pascal,IND,LA,WR,4400,8,-3.7,0.5,19184584,11.3
Jamison Crowder,NYJ,NE,WR,4500,8.2,-3.7,0.5,19184580,11.3
Ryan Griffin,NYJ,NE,TE,2600,4.5,-3.7,0,19185236,6.4
Harrison Bryant,CLE,HOU,TE,2500,4.1,-3.8,0,19185458,8.4
Parris Campbell,IND,LA,WR,3600,6.3,-3.8,1,19184626,9.1
Rams ,LA,IND,DST,4500,6.2,-3.8,0.5,19185502,10.6
Damien Williams,CHI,CIN,RB,4900,8.8,-3.9,0.5,19184152,14.5
Marquise Goodwin,CHI,CIN,WR,3500,6.1,-3.9,0.5,19184636,10.2
James Robinson,JAX,DEN,RB,6400,11.8,-3.9,0.5,19184108,16.5
Josh Jacobs,LV,PIT,RB,6000,11,-3.9,0.5,19184118,15.2
Mike Gesicki,MIA,BUF,TE,4000,7.1,-3.9,0.5,19185162,10.3
Dan Arnold,CAR,NO,TE,2900,4.8,-4,0.9,19185212,7.4
Mark Ingram II,HOU,CLE,RB,5000,8.9,-4,0.5,19184142,11.3
Quez Watkins,PHI,SF,WR,3200,5.4,-4,0.5,19184678,8.4
Dawson Knox,BUF,MIA,TE,3500,5.8,-4.2,0.5,19185180,9.5
Jack Doyle,IND,LA,TE,3100,5,-4.2,0.5,19185192,7.1
Zach Ertz,PHI,SF,TE,3700,6.2,-4.2,0.5,19185170,9
Jordan Akins,HOU,CLE,TE,3000,4.6,-4.3,0.1,19185202,6.4
Trey Sermon,SF,PHI,RB,4600,7.6,-4.5,0.5,19184164,13.3
Hayden Hurst,ATL,TB,TE,3800,5.9,-4.6,0.5,19185168,7.9
Chris Conley,HOU,CLE,WR,3100,4.6,-4.6,0,19184694,6.3
Durham Smythe,MIA,BUF,TE,2500,3.4,-4.6,0,19185478,5.6
Tevin Coleman,NYJ,NE,RB,4700,7.6,-4.7,0.5,19184160,11.9
Brandon Aiyuk,SF,PHI,WR,5500,9.1,-4.8,0.5,19184536,14.6
Ty Johnson,NYJ,NE,RB,4500,7,-4.9,0.5,19184174,11.5
James Washington,PIT,LV,WR,3400,4.8,-4.9,0,19184640,8.9
Maxx Williams,ARI,MIN,TE,2700,3.3,-5,0,19185228,7.1
Pat Freiermuth,PIT,LV,TE,2700,3.3,-5,0,19185230,6.8
Dee Eskridge,SEA,TEN,WR,3000,4,-5,0,19184736,8.2
Danny Amendola,HOU,CLE,WR,3600,5.1,-5.1,0.5,19184624,6.9
Hunter Henry,NE,NYJ,TE,4300,6.2,-5.3,0.5,19185156,9.7
Freddie Swain,SEA,TEN,WR,3400,4.4,-5.3,0,19184646,8.7
Geoff Swaim,TEN,SEA,TE,2500,2.7,-5.3,0,19185278,5
Demetrius Harris,ARI,MIN,TE,2500,2.5,-5.5,0,19185314,5.7
Damiere Byrd,CHI,CIN,WR,3200,3.8,-5.5,0,19184676,6.8
Tony Jones Jr.,NO,CAR,RB,4400,6.2,-5.5,0.5,19184178,9.5
Juwan Johnson,NO,CAR,WR,3600,4.7,-5.5,0,19184628,7.8
Mohamed Sanu,SF,PHI,WR,3000,3.5,-5.5,0,19184942,6.9
Jimmy Graham,CHI,CIN,TE,3200,3.7,-5.6,0,19185186,6.4
Donald Parham Jr.,LAC,DAL,TE,2900,3.2,-5.6,0,19185210,6.9
Diontae Spencer,DEN,JAX,WR,3000,3.3,-5.7,0,19185000,6.4
Keelan Cole Sr.,NYJ,NE,WR,3000,3.2,-5.8,0,19185018,4.7
Ian Thomas,CAR,NO,TE,2500,2,-5.9,0,19185332,3.6
Larry Rountree III,LAC,DAL,RB,4000,5.1,-5.9,0,19184212,10.2
Tony Pollard,DAL,LAC,RB,5300,7.5,-6,0.5,19184134,13.2
Giovani Bernard,TB,ATL,RB,4200,5.3,-6,0.5,19184194,10.8
Kendrick Bourne,NE,NYJ,WR,4100,5,-6.1,0.5,19184594,8.4
Lil'Jordan Humphrey,NO,CAR,WR,3000,2.9,-6.1,0,19184872,5.5
Mike Strachan,IND,LA,WR,3000,2.6,-6.3,0,19184926,4.6
Chris Herndon,MIN,ARI,TE,2900,2.5,-6.3,0,19185208,4.7
Michael Carter,NYJ,NE,RB,4100,4.9,-6.3,0,19184202,9
Johnny Mundt,LA,IND,TE,2500,1.6,-6.4,0,19185368,4.1
Eric Saubert,DEN,JAX,TE,2500,1.5,-6.5,0,19185416,4
Cameron Brate,TB,ATL,TE,2900,2.3,-6.5,0,19185214,6.4
Malcolm Brown,MIA,BUF,RB,4000,4.3,-6.7,0,19184452,8.1
Chris Manhertz,JAX,DEN,TE,3000,2.2,-6.8,0,19185198,3.5
Zay Jones,LV,PIT,WR,3100,2.4,-6.8,0,19184692,4.2
Albert Wilson,MIA,BUF,WR,3000,2.1,-6.8,0,19185110,4.1
Mike Thomas,CIN,CHI,WR,3000,2.1,-6.9,0,19185046,4
Kylen Granson,IND,LA,TE,2500,1.1,-6.9,0,19185376,2.6
Nick Westbrook-Ikhine,TEN,SEA,WR,3000,2.1,-6.9,0,19184760,4.3
Olamide Zaccheaus,ATL,TB,WR,3200,2.4,-7,0,19184664,4.1
Matt Breida,BUF,MIA,RB,4300,4.5,-7,0,19184190,8.3
David Johnson,HOU,CLE,RB,5200,6.3,-7,0.5,19184136,9
Foster Moreau,LV,PIT,TE,3000,2,-7,0,19185206,3.9
Stephen Anderson,LAC,DAL,TE,2500,1,-7,0,19185244,4
Greg Ward,PHI,SF,WR,3000,2,-7,0,19184958,4
Joshua Palmer,LAC,DAL,WR,3000,1.9,-7.1,0,19184700,5.2
Ross Dwelley,SF,PHI,TE,2500,0.9,-7.1,0,19185390,3.5
Drew Sample,CIN,CHI,TE,2700,1.2,-7.2,0,19185224,2.8
Rhamondre Stevenson,NE,NYJ,RB,4000,3.7,-7.2,0,19184400,8.1
Isaiah McKenzie,BUF,MIA,WR,3200,2,-7.3,0,19184668,4.9
Samaje Perine,CIN,CHI,RB,4200,4,-7.3,0,19184198,8.1
Dede Westbrook,MIN,ARI,WR,3000,1.7,-7.3,0,19184834,3.8
Darrell Daniels,ARI,MIN,TE,2500,0.6,-7.4,0,19185312,3.3
Auden Tate,CIN,CHI,WR,3000,1.5,-7.4,0,19185044,3.3
Chris Hogan,NO,CAR,WR,3000,1.6,-7.4,0,19184874,3.8
Trevon Wesco,NYJ,NE,TE,2500,0.5,-7.4,0,19185426,1.3
Zach Gentry,PIT,LV,TE,2500,0.6,-7.4,0,19185350,3.2
O.J. Howard,TB,ATL,TE,3000,1.6,-7.4,0,19185204,5.6
Salvon Ahmed,MIA,BUF,RB,4100,3.5,-7.6,0,19184200,7
Tommy Sweeney,BUF,MIA,TE,2500,0.3,-7.7,0,19185492,2.6
Antony Auclair,HOU,CLE,TE,2500,0.2,-7.7,0,19185470,0.9
Tutu Atwell,LA,IND,WR,3000,1.2,-7.7,0,19184916,3.7
Cethan Carter,MIA,BUF,TE,2500,0.3,-7.7,0,19185482,1.8
Brandon Dillon,MIN,ARI,TE,2500,0.3,-7.7,0,19185322,2
Charlie Woerner,SF,PHI,TE,2500,0.3,-7.7,0,19185392,2.7
Scotty Miller,TB,ATL,WR,3400,2.1,-7.7,0,19184648,6.4
Tajae Sharpe,ATL,TB,WR,3000,1.2,-7.8,0,19184798,2.5
Jeremy McNichols,TEN,SEA,RB,4600,4.3,-7.8,0,19184168,7.2
Jesse James,CHI,CIN,TE,2600,0.3,-7.9,0,19185238,2.2
Justin Jackson,LAC,DAL,RB,4000,3.1,-7.9,0,19184208,7.7
K.J. Hill,LAC,DAL,WR,3000,1,-7.9,0,19184702,4.1
Tyler Johnson,TB,ATL,WR,3000,1,-7.9,0,19184778,4.9
Phillip Lindsay,HOU,CLE,RB,4600,4.1,-8,0,19184166,6.1
Jamal Agnew,JAX,DEN,WR,3000,1,-8,0,19184976,2.1
Braxton Berrios,NYJ,NE,WR,3600,2.1,-8,0,19184622,3.5
Ty Montgomery,NO,CAR,RB,4000,2.8,-8.1,0,19184306,5.4
JaMycal Hasty,SF,PHI,RB,4200,3.1,-8.2,0,19184196,7.6
Rex Burkhead,HOU,CLE,RB,4000,2.7,-8.3,0,19184444,4.4
Brandon Zylstra,CAR,NO,WR,3000,0.5,-8.4,0,19184852,1.8
Noah Brown,DAL,LAC,WR,3000,0.6,-8.4,0,19184716,3
Kyle Juszczyk,SF,PHI,RB,4000,2.6,-8.4,0,19184366,6.8
Christian Blake,ATL,TB,WR,3000,0.5,-8.5,0,19184796,1.6
Ray-Ray McCloud III,PIT,LV,WR,3000,0.5,-8.5,0,19184888,3
Simi Fehoko,DAL,LAC,WR,3000,0.3,-8.6,0,19184718,2.7
Jakeem Grant,MIA,BUF,WR,3100,0.6,-8.6,0,19184680,2.2
Gunner Olszewski,NE,NYJ,WR,3100,0.5,-8.6,0,19184686,2.5
Ashton Dulin,IND,LA,WR,3000,0.2,-8.7,0,19184928,1.5
Ihmir Smith-Marsette,MIN,ARI,WR,3000,0.3,-8.7,0,19184836,2
JJ Arcega-Whiteside,PHI,SF,WR,3000,0.3,-8.7,0,19184960,2
DeeJay Dallas,SEA,TEN,RB,4000,2.2,-8.7,0,19184234,6
Alec Ingold,LV,PIT,RB,4000,2.2,-8.8,0,19184332,4.4
Ameer Abdullah,MIN,ARI,RB,4000,2.1,-8.9,0,19184278,4.6
N'Keal Harry,NE,NYJ,WR,3000,0.1,-8.9,0,19185034,2
Alex Collins,SEA,TEN,RB,4000,1.9,-9,0,19184230,5.8
Tyron Johnson,JAX,DEN,WR,3600,0.9,-9.2,0,19184620,2.1
Willie Snead IV,LV,PIT,WR,3400,0.6,-9.2,0,19184650,2.1
Rashard Higgins,CLE,HOU,WR,3900,1.2,-9.5,0,19184602,4.8
Travis Homer,SEA,TEN,RB,4000,1.5,-9.5,0,19184232,4.8
Chuba Hubbard,CAR,NO,RB,4500,2.3,-9.7,0,19184172,5
Keith Smith,ATL,TB,RB,4000,1.1,-9.9,0,19184262,2.8
Sony Michel,LA,IND,RB,5000,2.9,-10,0,19184144,6.5
C.J. Ham,MIN,ARI,RB,4000,1,-10,0,19184284,3.2
Kalen Ballage,PIT,LV,RB,4000,0.8,-10.1,0,19184312,4.4
Khari Blasingame,TEN,SEA,RB,4000,0.7,-10.3,0,19184248,2.5
D'Ernest Johnson,CLE,HOU,RB,4000,0.5,-10.5,0,19184430,4.5
Marlon Mack,IND,LA,RB,4000,0.4,-10.5,0,19184352,1.8
Alexander Mattison,MIN,ARI,RB,5000,2.4,-10.5,0,19184140,5
Gabe Nabers,LAC,DAL,RB,4000,0.3,-10.6,0,19184214,4.2
Brandon Bolden,NE,NYJ,RB,4000,0.3,-10.6,0,19184404,3.4
Mekhi Sargent,TEN,SEA,RB,4000,0.4,-10.6,0,19184242,2.1
Benny Snell Jr.,PIT,LV,RB,4300,0.8,-10.7,0,19184186,4.4
Chris Evans,CIN,CHI,RB,4000,0.1,-10.8,0,19184412,3.3
Andy Janovich,CLE,HOU,RB,4000,0.1,-10.8,0,19184436,4.1
Peyton Barber,LV,PIT,RB,4000,0.1,-10.8,0,19184326,1.8
Jake Funk,LA,IND,RB,4000,0.2,-10.8,0,19184340,2.7
Dwayne Washington,NO,CAR,RB,4000,0.2,-10.8,0,19184304,2.3
Trey Lance,SF,PHI,QB,4800,3.9,-11.1,0,19184024,7.9
Boston Scott,PHI,SF,RB,4300,0.4,-11.2,0,19184188,3.4
Taysom Hill,NO,CAR,QB,4700,3,-11.6,0,19184025,7
Jacoby Brissett,MIA,BUF,QB,4000,0.7,-11.9,0,19184085,4.7
Justin Fields,CHI,CIN,QB,5000,1.2,-14.3,0,19184020,5.2
